#{"t_start": 1727647854.4615552, "env_id": "None"}
r,l,t
0.0,37,5.645743
0.0,5,5.649522
0.0,5,5.65194
0.0,24,5.663884
0.0,4,5.666882
-1.0,7,5.670308
0.0,9,5.675172
0.0,3,5.676672
0.0,3,5.678139
0.0,10,5.684126
-1.0,6,5.686976
-1.0,35,5.704746
-1.0,31,5.720792
0.0,5,5.723444
-1.0,7,5.72691
-1.0,33,5.743818
-1.0,4,5.745802
-1.0,5,5.749549
-1.0,11,5.754863
-1.0,15,5.762443
1.0,5,5.766171
-1.0,11,5.771346
-1.0,6,5.774521
0.0,5,5.777041
0.0,9,5.781967
0.0,11,5.788066
-1.0,4,5.790353
0.0,7,5.794006
-1.0,13,5.801512
0.0,11,5.807199
-1.0,5,5.809759
-1.0,9,5.814498
1.0,11,5.820523
0.0,25,5.833867
0.0,6,5.836786
0.0,6,5.839851
0.0,6,5.842983
0.0,10,5.848322
0.0,21,5.859529
-1.0,9,5.864002
1.0,10,5.869679
1.0,14,5.876644
0.0,8,5.880573
-1.0,6,5.88483
-1.0,17,5.893036
-1.0,8,5.896817
0.0,10,5.902562
0.0,44,5.924457
-1.0,16,5.933011
0.0,2,5.934258
-1.0,7,5.937603
0.0,13,5.943963
0.0,12,5.950363
0.0,11,5.955972
-1.0,9,5.960358
0.0,3,5.961835
-1.0,11,5.967964
0.0,17,5.975928
1.0,10,5.980786
-1.0,5,5.984072
0.0,5,5.986452
0.0,7,5.98989
0.0,9,5.994256
0.0,7,5.998039
-1.0,6,6.001429
0.0,7,6.004886
0.0,29,6.445702
0.0,8,6.449583
0.0,3,6.451065
0.0,3,6.452526
0.0,2,6.453532
0.0,10,6.458219
-1.0,10,6.46295
0.0,4,6.464855
0.0,14,6.471397
0.0,6,6.474225
0.0,4,6.476142
-1.0,12,6.481719
0.0,17,6.489625
0.0,11,6.494859
0.0,3,6.496339
3.0,25,6.508257
0.0,11,6.513429
0.0,5,6.515827
-1.0,4,6.517753
-1.0,10,6.522438
0.0,12,6.52806
-1.0,6,6.530901
0.0,11,6.536089
0.0,19,6.545361
-1.0,9,6.549729
0.0,11,6.555631
-1.0,16,6.563385
0.0,10,6.568123
-1.0,5,6.57054
0.0,12,6.576226
-1.0,7,6.579605
2.0,20,6.589047
1.0,4,6.590981
0.0,19,6.599904
-1.0,4,6.601812
-1.0,11,6.606959
